Country,Region,Subregion,Indicator,Dimension,Category,Year,Group
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2020,Prison (Rehabilitation)
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2020,Prison (Rehabilitation)
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2020,Prison (Rehabilitation)
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2020,Prison (Rehabilitation)
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2020,Prison (Rehabilitation)
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2020,Prison (Rehabilitation)
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2020,Prison (Rehabilitation)
Ukraine,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2020,Prison (Rehabilitation)
Uruguay,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2020,Prison (Rehabilitation)
Zimbabwe,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2020,Prison (Rehabilitation)
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Armenia,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Belgium,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Bermuda,Americas,Northern America,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Cameroon,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Grenada,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Guyana,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Croatia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Iceland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Jordan,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Kenya,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Saint Lucia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Luxembourg,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
"China, Macao Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Morocco,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Peru,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Puerto Rico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Qatar,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Thailand,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Ukraine,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Uruguay,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Zimbabwe,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2021,Prison (Rehabilitation)
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Armenia,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Belgium,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Cameroon,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Germany,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Guyana,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Croatia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Iceland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Jordan,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Saint Lucia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Morocco,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Peru,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Thailand,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Ukraine,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Zimbabwe,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2022,Prison (Rehabilitation)
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Armenia,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Belgium,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Germany,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Guyana,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Croatia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Iceland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Jordan,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Saint Lucia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Morocco,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Peru,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Thailand,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Ukraine,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Zimbabwe,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for education/training/health,2023,Prison (Rehabilitation)
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Guinea-Bissau,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Luxembourg,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
"China, Macao Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2014,Prison (Admin)
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
United Kingdom (England and Wales),Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Guinea-Bissau,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Luxembourg,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
"China, Macao Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2015,Prison (Admin)
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Cameroon,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
United Kingdom (England and Wales),Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Guinea-Bissau,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Luxembourg,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Prison Staff - responsible for administration/management/other,2016,Prison (Admin)
